Order_ID,Order_Date,Month,Quarter,Region,City,Saree_Type,Fabric,Occasion,Sales_Channel,Customer_Age,Unit_Price_INR,Discount_Pct,Units_Sold,Revenue_INR,Customer_Rating
SAR10061,2026-10-16,October,2026Q4,Kerala,Kochi,Cotton,Cotton,Party,Marketplace,23,1550,5,7,10307.5,4.2
SAR10062,2026-08-01,August,2026Q3,Tamil Nadu,Coimbatore,Ready-to-Wear,Synthetic Blend,Festival,Online Website,36,3500,10,8,25200.0,4.9
SAR10063,2026-06-11,June,2026Q2,Gujarat,Surat,Georgette,Georgette,Daily Wear,Online Website,45,1550,0,8,12400.0,4.2
SAR10064,2026-03-08,March,2026Q1,Maharashtra,Mumbai,Organza,Organza,Festival,Online Website,45,1950,10,6,10530.0,3.8
SAR10065,2026-11-17,November,2026Q4,West Bengal,Kolkata,Organza,Organza,Wedding,Offline Store,46,2800,15,7,16660.0,4.0
SAR10066,2026-02-13,February,2026Q1,Telangana,Warangal,Organza,Organza,Festival,Offline Store,35,4500,10,9,36450.0,5.0
SAR10067,2026-12-01,December,2026Q4,Tamil Nadu,Madurai,Banarasi Silk,Silk,Daily Wear,Online Website,34,6650,0,4,26600.0,4.8
SAR10068,2026-09-10,September,2026Q3,Tamil Nadu,Coimbatore,Ready-to-Wear,Synthetic Blend,Wedding,Online Website,45,3350,5,6,19095.0,4.9
SAR10069,2026-11-04,November,2026Q4,Kerala,Thrissur,Cotton,Cotton,Wedding,Online Website,42,1050,0,5,5250.0,4.3
SAR10070,2026-04-23,April,2026Q2,Delhi NCR,Gurugram,Chiffon,Chiffon,Daily Wear,Offline Store,41,2450,10,6,13230.0,4.2
SAR10071,2026-07-08,July,2026Q3,Maharashtra,Pune,Chiffon,Chiffon,Office Wear,Online Website,33,1950,20,4,6240.0,3.4
SAR10072,2026-03-09,March,2026Q1,Gujarat,Surat,Designer,Synthetic Blend,Party,Online Website,22,4100,20,4,13120.0,4.6
SAR10073,2026-01-20,January,2026Q1,Tamil Nadu,Chennai,Handloom,Handloom,Office Wear,Offline Store,36,4550,5,8,34580.0,4.4
SAR10074,2026-01-03,January,2026Q1,Delhi NCR,Delhi,Designer,Synthetic Blend,Office Wear,Offline Store,27,4700,0,5,23500.0,3.5
SAR10075,2026-03-31,March,2026Q1,Telangana,Warangal,Chiffon,Chiffon,Festival,Marketplace,28,1300,5,5,6175.0,5.0
SAR10076,2026-03-11,March,2026Q1,Maharashtra,Pune,Banarasi Silk,Silk,Festival,Online Website,45,4850,0,3,14550.0,3.3
SAR10077,2026-11-08,November,2026Q4,Tamil Nadu,Coimbatore,Cotton,Cotton,Office Wear,Offline Store,30,1250,10,15,16875.0,4.0
SAR10078,2026-09-28,September,2026Q3,Karnataka,Mysuru,Handloom,Handloom,Office Wear,Offline Store,44,3050,5,5,14487.5,3.8
SAR10079,2026-12-26,December,2026Q4,West Bengal,Kolkata,Designer,Synthetic Blend,Festival,Marketplace,27,5450,0,2,10900.0,3.9
SAR10080,2026-12-31,December,2026Q4,West Bengal,Kolkata,Ready-to-Wear,Synthetic Blend,Gift,Online Website,40,5450,5,9,46597.5,3.6
SAR10081,2026-09-07,September,2026Q3,Telangana,Warangal,Designer,Synthetic Blend,Wedding,Offline Store,44,5150,5,4,19570.0,4.5
SAR10082,2026-08-04,August,2026Q3,West Bengal,Kolkata,Handloom,Handloom,Gift,Offline Store,18,2500,20,9,18000.0,4.2
SAR10083,2026-07-15,July,2026Q3,West Bengal,Kolkata,Designer,Synthetic Blend,Wedding,Offline Store,31,5200,15,2,8840.0,4.0
SAR10084,2026-10-05,October,2026Q4,Kerala,Kochi,Ready-to-Wear,Synthetic Blend,Party,Offline Store,51,5100,0,9,45900.0,3.6
SAR10085,2026-02-03,February,2026Q1,West Bengal,Kolkata,Banarasi Silk,Silk,Office Wear,Online Website,48,11650,5,2,22135.0,4.4
SAR10086,2026-08-18,August,2026Q3,Kerala,Thrissur,Organza,Organza,Wedding,Online Website,30,2900,15,9,22185.0,4.1
SAR10087,2026-08-10,August,2026Q3,Maharashtra,Mumbai,Cotton,Cotton,Daily Wear,Marketplace,30,1000,15,6,5100.0,4.8
SAR10088,2026-09-27,September,2026Q3,Tamil Nadu,Coimbatore,Ready-to-Wear,Synthetic Blend,Festival,Offline Store,27,3050,15,10,25925.0,3.9
SAR10089,2026-08-03,August,2026Q3,Karnataka,Mysuru,Banarasi Silk,Silk,Daily Wear,Online Website,56,9400,15,4,31960.0,4.5
SAR10090,2026-03-27,March,2026Q1,Gujarat,Surat,Georgette,Georgette,Wedding,Online Website,24,3100,0,8,24800.0,3.8
SAR10091,2026-12-06,December,2026Q4,Maharashtra,Mumbai,Handloom,Handloom,Party,Offline Store,23,1950,0,7,13650.0,4.3
SAR10092,2026-09-22,September,2026Q3,Gujarat,Ahmedabad,Organza,Organza,Festival,Online Website,25,2900,20,7,16240.0,3.9
SAR10093,2026-02-05,February,2026Q1,Delhi NCR,Delhi,Chiffon,Chiffon,Gift,Offline Store,39,2300,20,7,12880.0,4.2
SAR10094,2026-12-20,December,2026Q4,West Bengal,Howrah,Ready-to-Wear,Synthetic Blend,Daily Wear,Offline Store,25,4900,15,7,29155.0,4.5
SAR10095,2026-04-06,April,2026Q2,Delhi NCR,Delhi,Organza,Organza,Party,Offline Store,23,2250,5,5,10687.5,4.1
SAR10096,2026-05-13,May,2026Q2,Karnataka,Bengaluru,Chiffon,Chiffon,Office Wear,Offline Store,46,2300,10,6,12420.0,4.2
SAR10097,2026-02-08,February,2026Q1,Kerala,Kochi,Cotton,Cotton,Office Wear,Marketplace,40,1450,20,6,6960.0,3.7
SAR10098,2026-04-03,April,2026Q2,Maharashtra,Mumbai,Banarasi Silk,Silk,Office Wear,Online Website,36,10000,15,6,51000.0,4.6
SAR10099,2026-01-23,January,2026Q1,Telangana,Warangal,Banarasi Silk,Silk,Daily Wear,Online Website,35,5650,0,2,11300.0,5.0
SAR10100,2026-04-09,April,2026Q2,Kerala,Kochi,Cotton,Cotton,Party,Online Website,52,1000,15,10,8500.0,4.9
SAR10101,2026-09-14,September,2026Q3,Tamil Nadu,Coimbatore,Cotton,Cotton,Gift,Offline Store,21,900,10,7,5670.0,4.1
SAR10102,2026-07-02,July,2026Q3,Karnataka,Bengaluru,Linen,Linen,Gift,Offline Store,37,3050,10,7,19215.0,4.8
SAR10103,2026-05-05,May,2026Q2,Delhi NCR,Noida,Designer,Synthetic Blend,Wedding,Offline Store,41,4500,10,2,8100.0,4.4
SAR10104,2026-02-02,February,2026Q1,Telangana,Warangal,Banarasi Silk,Silk,Wedding,Offline Store,40,7150,0,4,28600.0,4.7
SAR10105,2026-04-19,April,2026Q2,Tamil Nadu,Madurai,Linen,Linen,Wedding,Online Website,34,3750,0,5,18750.0,4.2
SAR10106,2026-11-25,November,2026Q4,Tamil Nadu,Chennai,Handloom,Handloom,Office Wear,Marketplace,18,3100,0,4,12400.0,4.5
SAR10107,2026-09-30,September,2026Q3,Telangana,Hyderabad,Linen,Linen,Gift,Marketplace,18,2400,15,9,18360.0,4.1
SAR10108,2026-06-21,June,2026Q2,Karnataka,Bengaluru,Linen,Linen,Office Wear,Offline Store,32,3300,0,7,23100.0,5.0
SAR10109,2026-03-31,March,2026Q1,West Bengal,Kolkata,Cotton,Cotton,Festival,Offline Store,39,1500,0,9,13500.0,3.8
SAR10110,2026-04-08,April,2026Q2,Tamil Nadu,Chennai,Cotton,Cotton,Party,Offline Store,44,1500,5,7,9975.0,3.9
SAR10111,2026-11-21,November,2026Q4,Tamil Nadu,Chennai,Georgette,Georgette,Wedding,Offline Store,26,2200,0,9,19800.0,4.3
SAR10112,2026-03-05,March,2026Q1,Telangana,Warangal,Ready-to-Wear,Synthetic Blend,Festival,Offline Store,33,3600,5,6,20520.0,4.8
SAR10113,2026-09-24,September,2026Q3,Telangana,Hyderabad,Linen,Linen,Party,Offline Store,18,1700,5,11,17765.0,4.6
SAR10114,2026-07-29,July,2026Q3,Tamil Nadu,Coimbatore,Cotton,Cotton,Party,Online Website,39,1250,25,6,5625.0,4.1
SAR10115,2026-01-21,January,2026Q1,Karnataka,Mysuru,Designer,Synthetic Blend,Wedding,Offline Store,44,4450,0,5,22250.0,3.7
SAR10116,2026-11-16,November,2026Q4,Tamil Nadu,Madurai,Kanjivaram Silk,Silk,Daily Wear,Offline Store,33,6050,10,2,10890.0,3.1
SAR10117,2026-03-12,March,2026Q1,Delhi NCR,Noida,Ready-to-Wear,Synthetic Blend,Daily Wear,Marketplace,39,5400,5,7,35910.0,3.8
SAR10118,2026-11-13,November,2026Q4,Maharashtra,Mumbai,Chiffon,Chiffon,Daily Wear,Online Website,21,2450,15,11,22907.5,4.1
SAR10119,2026-04-28,April,2026Q2,Gujarat,Surat,Organza,Organza,Party,Offline Store,19,2000,10,7,12600.0,4.2
SAR10120,2026-02-21,February,2026Q1,Karnataka,Bengaluru,Cotton,Cotton,Party,Offline Store,36,1100,5,12,12540.0,4.3
SAR10121,2026-08-08,August,2026Q3,Maharashtra,Pune,Linen,Linen,Daily Wear,Offline Store,29,2300,25,6,10350.0,3.9
SAR10122,2026-07-22,July,2026Q3,Delhi NCR,Gurugram,Georgette,Georgette,Festival,Social Commerce,28,2450,15,5,10412.5,3.7
SAR10123,2026-08-20,August,2026Q3,Delhi NCR,Delhi,Organza,Organza,Wedding,Marketplace,27,2200,15,5,9350.0,4.7
SAR10124,2026-02-18,February,2026Q1,Telangana,Warangal,Banarasi Silk,Silk,Office Wear,Offline Store,41,11400,20,3,27360.0,3.9
SAR10125,2026-03-01,March,2026Q1,Tamil Nadu,Coimbatore,Kanjivaram Silk,Silk,Office Wear,Marketplace,22,6350,5,2,12065.0,4.3
SAR10126,2026-06-17,June,2026Q2,Telangana,Warangal,Linen,Linen,Festival,Offline Store,48,2000,15,7,11900.0,3.9
SAR10127,2026-11-22,November,2026Q4,Tamil Nadu,Madurai,Banarasi Silk,Silk,Daily Wear,Marketplace,38,5950,20,4,19040.0,4.7
SAR10128,2026-05-04,May,2026Q2,Delhi NCR,Delhi,Ready-to-Wear,Synthetic Blend,Daily Wear,Offline Store,48,3650,20,7,20440.0,4.8
SAR10129,2026-04-04,April,2026Q2,Tamil Nadu,Coimbatore,Organza,Organza,Festival,Offline Store,39,3150,5,7,20947.5,5.0
SAR10130,2026-07-07,July,2026Q3,West Bengal,Howrah,Cotton,Cotton,Festival,Social Commerce,31,1650,10,4,5940.0,4.5
SAR10131,2026-12-29,December,2026Q4,Delhi NCR,Noida,Cotton,Cotton,Wedding,Online Website,31,950,15,7,5652.5,3.5
SAR10132,2026-09-22,September,2026Q3,West Bengal,Kolkata,Kanjivaram Silk,Silk,Gift,Offline Store,22,11700,5,5,55575.0,4.9
SAR10133,2026-06-03,June,2026Q2,Tamil Nadu,Chennai,Banarasi Silk,Silk,Office Wear,Online Website,47,11150,15,3,28432.5,3.7
SAR10134,2026-08-13,August,2026Q3,West Bengal,Kolkata,Georgette,Georgette,Wedding,Offline Store,23,2000,5,9,17100.0,4.3
SAR10135,2026-07-12,July,2026Q3,Kerala,Kochi,Ready-to-Wear,Synthetic Blend,Daily Wear,Social Commerce,41,4300,10,6,23220.0,5.0
SAR10136,2026-02-17,February,2026Q1,West Bengal,Howrah,Handloom,Handloom,Daily Wear,Marketplace,28,3900,10,5,17550.0,4.3
SAR10137,2026-08-30,August,2026Q3,Tamil Nadu,Chennai,Cotton,Cotton,Daily Wear,Social Commerce,42,1700,0,5,8500.0,3.4
SAR10138,2026-10-25,October,2026Q4,Gujarat,Ahmedabad,Cotton,Cotton,Wedding,Online Website,26,1650,5,10,15675.0,3.8
SAR10139,2026-07-29,July,2026Q3,West Bengal,Kolkata,Ready-to-Wear,Synthetic Blend,Party,Offline Store,18,5150,10,8,37080.0,4.1
SAR10140,2026-02-15,February,2026Q1,Tamil Nadu,Madurai,Banarasi Silk,Silk,Festival,Online Website,39,11650,5,4,44270.0,4.0
SAR10141,2026-04-27,April,2026Q2,West Bengal,Kolkata,Organza,Organza,Wedding,Online Website,21,3050,25,6,13725.0,4.0
SAR10142,2026-03-09,March,2026Q1,Gujarat,Ahmedabad,Ready-to-Wear,Synthetic Blend,Festival,Offline Store,18,3550,25,7,18637.5,4.2
SAR10143,2026-08-01,August,2026Q3,Telangana,Hyderabad,Ready-to-Wear,Synthetic Blend,Daily Wear,Marketplace,44,4550,20,7,25480.0,3.7
SAR10144,2026-06-29,June,2026Q2,Kerala,Kochi,Georgette,Georgette,Festival,Social Commerce,28,2350,15,5,9987.5,4.5
SAR10145,2026-03-24,March,2026Q1,Tamil Nadu,Chennai,Georgette,Georgette,Daily Wear,Online Website,27,2950,10,7,18585.0,4.3
SAR10146,2026-11-10,November,2026Q4,Gujarat,Surat,Organza,Organza,Festival,Online Website,34,2250,10,7,14175.0,5.0
SAR10147,2026-05-10,May,2026Q2,Delhi NCR,Noida,Cotton,Cotton,Office Wear,Offline Store,53,1200,15,9,9180.0,4.2
SAR10148,2026-04-29,April,2026Q2,Tamil Nadu,Madurai,Kanjivaram Silk,Silk,Wedding,Offline Store,43,12350,10,4,44460.0,3.4
SAR10149,2026-10-09,October,2026Q4,Delhi NCR,Delhi,Kanjivaram Silk,Silk,Office Wear,Online Website,25,8350,15,4,28390.0,3.7
SAR10150,2026-11-30,November,2026Q4,Karnataka,Bengaluru,Chiffon,Chiffon,Festival,Online Website,47,2600,10,4,9360.0,4.6
SAR10151,2026-12-19,December,2026Q4,Kerala,Thrissur,Cotton,Cotton,Daily Wear,Online Website,18,1100,20,9,7920.0,3.9
SAR10152,2026-09-25,September,2026Q3,Gujarat,Ahmedabad,Ready-to-Wear,Synthetic Blend,Daily Wear,Online Website,49,4750,15,7,28262.5,4.4
SAR10153,2026-08-21,August,2026Q3,Gujarat,Surat,Organza,Organza,Office Wear,Offline Store,20,4300,15,8,29240.0,4.6
SAR10154,2026-03-10,March,2026Q1,West Bengal,Howrah,Georgette,Georgette,Office Wear,Marketplace,18,3150,0,4,12600.0,4.9
SAR10155,2026-08-17,August,2026Q3,Tamil Nadu,Erode,Handloom,Handloom,Office Wear,Online Website,43,3900,10,4,14040.0,4.5
SAR10156,2026-02-06,February,2026Q1,Kerala,Thrissur,Georgette,Georgette,Wedding,Online Website,29,2600,10,6,14040.0,3.8
SAR10157,2026-09-01,September,2026Q3,Kerala,Kochi,Chiffon,Chiffon,Wedding,Offline Store,41,2000,15,6,10200.0,4.2
SAR10158,2026-08-27,August,2026Q3,Delhi NCR,Delhi,Linen,Linen,Daily Wear,Offline Store,41,1700,15,6,8670.0,4.7
SAR10159,2026-10-14,October,2026Q4,Karnataka,Mysuru,Cotton,Cotton,Office Wear,Offline Store,28,1250,15,10,10625.0,4.8
SAR10160,2026-08-12,August,2026Q3,Maharashtra,Mumbai,Cotton,Cotton,Daily Wear,Online Website,26,1150,5,9,9832.5,4.8
SAR10161,2026-08-30,August,2026Q3,Tamil Nadu,Erode,Linen,Linen,Wedding,Online Website,37,2650,15,9,20272.5,4.3
SAR10162,2026-05-01,May,2026Q2,Kerala,Thrissur,Ready-to-Wear,Synthetic Blend,Festival,Offline Store,43,2700,10,9,21870.0,4.1
SAR10163,2026-08-12,August,2026Q3,Karnataka,Bengaluru,Ready-to-Wear,Synthetic Blend,Gift,Offline Store,28,4150,20,7,23240.0,4.6
SAR10164,2026-01-14,January,2026Q1,Tamil Nadu,Madurai,Designer,Synthetic Blend,Daily Wear,Offline Store,40,3700,0,4,14800.0,3.9
SAR10165,2026-03-12,March,2026Q1,Kerala,Kochi,Banarasi Silk,Silk,Office Wear,Social Commerce,44,11550,15,2,19635.0,4.6
SAR10166,2026-05-28,May,2026Q2,Tamil Nadu,Erode,Chiffon,Chiffon,Office Wear,Marketplace,38,1950,15,10,16575.0,4.6
SAR10167,2026-06-16,June,2026Q2,Kerala,Kochi,Georgette,Georgette,Wedding,Online Website,46,2050,0,5,10250.0,4.5
SAR10168,2026-04-19,April,2026Q2,Maharashtra,Pune,Linen,Linen,Daily Wear,Marketplace,34,2050,5,9,17527.5,4.5
SAR10169,2026-07-02,July,2026Q3,Delhi NCR,Delhi,Organza,Organza,Party,Social Commerce,34,2250,0,2,4500.0,4.2
SAR10170,2026-01-10,January,2026Q1,Maharashtra,Mumbai,Ready-to-Wear,Synthetic Blend,Festival,Online Website,51,3300,10,11,32670.0,4.0
SAR10171,2026-04-15,April,2026Q2,Tamil Nadu,Erode,Chiffon,Chiffon,Daily Wear,Social Commerce,65,1650,0,4,6600.0,4.1
SAR10172,2026-12-09,December,2026Q4,Karnataka,Mysuru,Designer,Synthetic Blend,Festival,Offline Store,18,4800,20,4,15360.0,3.6
SAR10173,2026-03-10,March,2026Q1,Maharashtra,Pune,Ready-to-Wear,Synthetic Blend,Wedding,Offline Store,22,3650,15,10,31025.0,5.0
SAR10174,2026-12-07,December,2026Q4,Tamil Nadu,Madurai,Cotton,Cotton,Gift,Offline Store,33,950,10,8,6840.0,4.5
SAR10175,2026-05-27,May,2026Q2,Maharashtra,Pune,Chiffon,Chiffon,Wedding,Social Commerce,37,1500,0,6,9000.0,3.6
SAR10176,2026-08-26,August,2026Q3,Tamil Nadu,Erode,Georgette,Georgette,Party,Offline Store,34,2600,0,13,33800.0,4.3
SAR10177,2026-07-05,July,2026Q3,Tamil Nadu,Coimbatore,Kanjivaram Silk,Silk,Festival,Online Website,21,7350,0,2,14700.0,4.3
SAR10178,2026-03-31,March,2026Q1,Delhi NCR,Noida,Chiffon,Chiffon,Festival,Online Website,33,1600,15,5,6800.0,3.9
SAR10179,2026-10-15,October,2026Q4,Maharashtra,Pune,Ready-to-Wear,Synthetic Blend,Daily Wear,Offline Store,25,2400,5,5,11400.0,5.0
SAR10180,2026-08-01,August,2026Q3,Gujarat,Surat,Organza,Organza,Daily Wear,Offline Store,61,2150,25,10,16125.0,4.5
SAR10181,2026-12-12,December,2026Q4,Karnataka,Mysuru,Handloom,Handloom,Daily Wear,Online Website,31,2900,5,5,13775.0,4.8
SAR10182,2026-06-05,June,2026Q2,Tamil Nadu,Chennai,Cotton,Cotton,Daily Wear,Online Website,27,1650,0,4,6600.0,3.9
SAR10183,2026-08-29,August,2026Q3,Tamil Nadu,Coimbatore,Cotton,Cotton,Festival,Online Website,21,1150,15,5,4887.5,4.7
SAR10184,2026-08-11,August,2026Q3,Tamil Nadu,Chennai,Handloom,Handloom,Party,Online Website,20,4400,20,9,31680.0,4.3
SAR10185,2026-10-29,October,2026Q4,Gujarat,Surat,Cotton,Cotton,Office Wear,Online Website,26,1700,15,7,10115.0,4.7
