Order_ID,Order_Date,Month,Quarter,Region,City,Service_or_Product,Category,Occasion,Sales_Channel,Unit_Price_INR,Discount_Pct,Quantity,Revenue_INR,Customer_Rating
MH10094,2026-03-06,March,2026Q1,Kerala,Kochi,Kids Mehendi,Kids,Wedding,Walk-in,500,5,2,950.0,4.3
MH10095,2026-12-29,December,2026Q4,Telangana,Hyderabad,Bridal Mehendi,Bridal,Festival,Walk-in,4700,5,2,8930.0,4.4
MH10096,2026-07-20,July,2026Q3,Tamil Nadu,Chennai,Bridal Mehendi,Bridal,Casual,Website Booking,4550,5,3,12967.5,5.0
MH10097,2026-06-15,June,2026Q2,Tamil Nadu,Madurai,Kids Mehendi,Kids,Engagement,Instagram/WhatsApp,450,0,2,900.0,5.0
MH10098,2026-03-22,March,2026Q1,Tamil Nadu,Salem,Traditional Indian Mehendi,Traditional,Party,Instagram/WhatsApp,1550,0,4,6200.0,4.5
MH10099,2026-04-19,April,2026Q2,Tamil Nadu,Coimbatore,Kids Mehendi,Kids,Party,Instagram/WhatsApp,600,0,3,1800.0,4.3
MH10100,2026-04-08,April,2026Q2,Tamil Nadu,Erode,Party Mehendi,Party,Wedding,Walk-in,1050,5,3,2992.5,3.9
MH10101,2026-03-05,March,2026Q1,Kerala,Kochi,Engagement Mehendi,Bridal,Party,Instagram/WhatsApp,3550,5,4,13490.0,4.6
MH10102,2026-09-11,September,2026Q3,Tamil Nadu,Coimbatore,Bridal Mehendi,Bridal,Wedding,Walk-in,1850,15,1,1572.5,4.5
MH10103,2026-11-09,November,2026Q4,Tamil Nadu,Coimbatore,Traditional Indian Mehendi,Traditional,Festival,Walk-in,1650,0,4,6600.0,4.6
MH10104,2026-09-06,September,2026Q3,Kerala,Kochi,Party Mehendi,Party,Wedding,Event Planner,1100,15,2,1870.0,4.1
MH10105,2026-05-24,May,2026Q2,Karnataka,Bengaluru,Party Mehendi,Party,Festival,Website Booking,1400,0,4,5600.0,3.9
MH10106,2026-12-12,December,2026Q4,Karnataka,Bengaluru,Minimal Mehendi,Minimal,Casual,Event Planner,800,0,2,1600.0,4.8
MH10107,2026-11-27,November,2026Q4,Kerala,Kochi,Traditional Indian Mehendi,Traditional,Wedding,Website Booking,1850,5,2,3515.0,4.7
MH10108,2026-04-28,April,2026Q2,Tamil Nadu,Salem,Kids Mehendi,Kids,Casual,Walk-in,700,5,3,1995.0,4.3
MH10109,2026-11-18,November,2026Q4,Tamil Nadu,Salem,Minimal Mehendi,Minimal,Party,Event Planner,550,0,2,1100.0,4.6
MH10110,2026-10-01,October,2026Q4,Karnataka,Bengaluru,Bridal Mehendi,Bridal,Casual,Website Booking,4600,10,3,12420.0,3.9
MH10111,2026-07-11,July,2026Q3,Tamil Nadu,Coimbatore,Minimal Mehendi,Minimal,Wedding,Instagram/WhatsApp,1000,5,3,2850.0,4.4
MH10112,2026-09-25,September,2026Q3,Tamil Nadu,Coimbatore,Party Mehendi,Party,Engagement,Event Planner,1350,10,2,2430.0,5.0
MH10113,2026-01-19,January,2026Q1,Tamil Nadu,Erode,Arabic Mehendi,Arabic,Wedding,Instagram/WhatsApp,2050,0,1,2050.0,4.3
MH10114,2026-07-31,July,2026Q3,Tamil Nadu,Salem,Arabic Mehendi,Arabic,Festival,Walk-in,2050,5,2,3895.0,4.0
MH10115,2026-09-27,September,2026Q3,Tamil Nadu,Chennai,Bridal Mehendi,Bridal,Engagement,Website Booking,4250,0,3,12750.0,4.6
MH10116,2026-07-11,July,2026Q3,Karnataka,Bengaluru,Party Mehendi,Party,Wedding,Walk-in,950,20,1,760.0,4.7
MH10117,2026-03-22,March,2026Q1,Tamil Nadu,Coimbatore,Traditional Indian Mehendi,Traditional,Festival,Website Booking,1450,20,2,2320.0,4.6
MH10118,2026-06-25,June,2026Q2,Tamil Nadu,Erode,Bridal Mehendi,Bridal,Baby Shower,Instagram/WhatsApp,2450,20,4,7840.0,3.9
MH10119,2026-08-29,August,2026Q3,Tamil Nadu,Erode,Arabic Mehendi,Arabic,Party,Event Planner,1350,0,3,4050.0,4.7
MH10120,2026-10-25,October,2026Q4,Tamil Nadu,Erode,Minimal Mehendi,Minimal,Party,Website Booking,800,0,4,3200.0,4.5
MH10121,2026-12-28,December,2026Q4,Tamil Nadu,Salem,Bridal Mehendi,Bridal,Party,Walk-in,4150,0,2,8300.0,3.8
MH10122,2026-09-05,September,2026Q3,Tamil Nadu,Chennai,Traditional Indian Mehendi,Traditional,Wedding,Website Booking,2300,0,2,4600.0,4.8
MH10123,2026-04-16,April,2026Q2,Kerala,Kochi,Minimal Mehendi,Minimal,Party,Instagram/WhatsApp,950,0,3,2850.0,4.1
MH10124,2026-09-28,September,2026Q3,Karnataka,Bengaluru,Arabic Mehendi,Arabic,Wedding,Walk-in,1300,5,1,1235.0,5.0
MH10125,2026-06-22,June,2026Q2,Telangana,Hyderabad,Kids Mehendi,Kids,Wedding,Event Planner,550,5,3,1567.5,4.7
MH10126,2026-04-10,April,2026Q2,Tamil Nadu,Chennai,Engagement Mehendi,Bridal,Wedding,Website Booking,3300,15,4,11220.0,4.1
MH10127,2026-06-13,June,2026Q2,Telangana,Hyderabad,Minimal Mehendi,Minimal,Casual,Instagram/WhatsApp,600,10,2,1080.0,4.5
MH10128,2026-06-13,June,2026Q2,Tamil Nadu,Coimbatore,Traditional Indian Mehendi,Traditional,Engagement,Walk-in,1350,10,4,4860.0,3.9
MH10129,2026-12-13,December,2026Q4,Telangana,Hyderabad,Engagement Mehendi,Bridal,Wedding,Instagram/WhatsApp,3350,10,3,9045.0,5.0
MH10130,2026-08-20,August,2026Q3,Telangana,Hyderabad,Party Mehendi,Party,Casual,Event Planner,1650,0,3,4950.0,4.4
MH10131,2026-08-29,August,2026Q3,Tamil Nadu,Chennai,Minimal Mehendi,Minimal,Wedding,Website Booking,700,0,2,1400.0,3.7
MH10132,2026-06-24,June,2026Q2,Karnataka,Bengaluru,Party Mehendi,Party,Engagement,Walk-in,1700,10,3,4590.0,4.4
MH10133,2026-09-06,September,2026Q3,Tamil Nadu,Salem,Bridal Mehendi,Bridal,Wedding,Walk-in,3500,10,3,9450.0,4.5
MH10134,2026-08-17,August,2026Q3,Tamil Nadu,Madurai,Minimal Mehendi,Minimal,Engagement,Event Planner,1350,0,3,4050.0,4.2
MH10135,2026-02-15,February,2026Q1,Tamil Nadu,Coimbatore,Minimal Mehendi,Minimal,Festival,Website Booking,500,15,2,850.0,4.3
MH10136,2026-08-15,August,2026Q3,Telangana,Hyderabad,Traditional Indian Mehendi,Traditional,Wedding,Event Planner,2000,10,2,3600.0,4.4
MH10137,2026-07-29,July,2026Q3,Tamil Nadu,Madurai,Traditional Indian Mehendi,Traditional,Engagement,Walk-in,2100,10,3,5670.0,4.1
MH10138,2026-08-14,August,2026Q3,Tamil Nadu,Salem,Bridal Mehendi,Bridal,Wedding,Website Booking,2950,15,3,7522.5,4.5
MH10139,2026-09-09,September,2026Q3,Karnataka,Bengaluru,Arabic Mehendi,Arabic,Festival,Event Planner,1000,5,4,3800.0,4.3
MH10140,2026-09-11,September,2026Q3,Telangana,Hyderabad,Bridal Mehendi,Bridal,Casual,Instagram/WhatsApp,4950,0,1,4950.0,4.0
MH10141,2026-12-28,December,2026Q4,Tamil Nadu,Salem,Party Mehendi,Party,Festival,Instagram/WhatsApp,1000,0,2,2000.0,4.1
MH10142,2026-10-06,October,2026Q4,Tamil Nadu,Erode,Engagement Mehendi,Bridal,Festival,Instagram/WhatsApp,2050,10,3,5535.0,3.9
MH10143,2026-02-02,February,2026Q1,Tamil Nadu,Erode,Engagement Mehendi,Bridal,Party,Walk-in,2300,5,2,4370.0,4.0
MH10144,2026-11-24,November,2026Q4,Tamil Nadu,Chennai,Minimal Mehendi,Minimal,Engagement,Instagram/WhatsApp,1200,5,1,1140.0,4.2
MH10145,2026-03-13,March,2026Q1,Telangana,Hyderabad,Engagement Mehendi,Bridal,Casual,Website Booking,2950,10,2,5310.0,4.3
MH10146,2026-12-08,December,2026Q4,Tamil Nadu,Madurai,Engagement Mehendi,Bridal,Baby Shower,Walk-in,3250,5,4,12350.0,4.7
MH10147,2026-12-07,December,2026Q4,Tamil Nadu,Madurai,Bridal Mehendi,Bridal,Party,Walk-in,4350,10,2,7830.0,4.4
MH10148,2026-08-06,August,2026Q3,Telangana,Hyderabad,Arabic Mehendi,Arabic,Wedding,Instagram/WhatsApp,1300,0,2,2600.0,5.0
MH10149,2026-10-25,October,2026Q4,Tamil Nadu,Coimbatore,Party Mehendi,Party,Engagement,Event Planner,750,0,2,1500.0,3.9
MH10150,2026-06-28,June,2026Q2,Kerala,Kochi,Kids Mehendi,Kids,Wedding,Website Booking,350,0,1,350.0,4.1
MH10151,2026-01-07,January,2026Q1,Tamil Nadu,Chennai,Bridal Mehendi,Bridal,Wedding,Website Booking,1800,0,3,5400.0,3.4
MH10152,2026-05-19,May,2026Q2,Karnataka,Bengaluru,Kids Mehendi,Kids,Casual,Instagram/WhatsApp,350,20,2,560.0,4.2
MH10153,2026-06-22,June,2026Q2,Tamil Nadu,Chennai,Party Mehendi,Party,Wedding,Walk-in,1400,10,3,3780.0,4.3
MH10154,2026-09-10,September,2026Q3,Tamil Nadu,Chennai,Engagement Mehendi,Bridal,Festival,Walk-in,2200,5,3,6270.0,4.0
MH10155,2026-07-12,July,2026Q3,Tamil Nadu,Coimbatore,Engagement Mehendi,Bridal,Festival,Instagram/WhatsApp,2450,0,3,7350.0,4.5
MH10156,2026-06-30,June,2026Q2,Tamil Nadu,Salem,Minimal Mehendi,Minimal,Festival,Event Planner,600,0,3,1800.0,4.3
MH10157,2026-10-28,October,2026Q4,Tamil Nadu,Salem,Minimal Mehendi,Minimal,Engagement,Instagram/WhatsApp,750,15,4,2550.0,4.6
MH10158,2026-05-04,May,2026Q2,Tamil Nadu,Erode,Party Mehendi,Party,Casual,Instagram/WhatsApp,1700,5,4,6460.0,4.5
MH10159,2026-04-21,April,2026Q2,Tamil Nadu,Chennai,Minimal Mehendi,Minimal,Wedding,Walk-in,1150,15,3,2932.5,4.4
MH10160,2026-06-20,June,2026Q2,Tamil Nadu,Erode,Minimal Mehendi,Minimal,Wedding,Event Planner,1100,0,2,2200.0,3.8
MH10161,2026-03-01,March,2026Q1,Tamil Nadu,Madurai,Kids Mehendi,Kids,Wedding,Instagram/WhatsApp,600,10,3,1620.0,3.9
MH10162,2026-10-24,October,2026Q4,Tamil Nadu,Erode,Kids Mehendi,Kids,Wedding,Walk-in,550,15,1,467.5,4.4
MH10163,2026-01-26,January,2026Q1,Tamil Nadu,Erode,Kids Mehendi,Kids,Festival,Instagram/WhatsApp,400,10,2,720.0,4.2
MH10164,2026-03-20,March,2026Q1,Tamil Nadu,Coimbatore,Kids Mehendi,Kids,Wedding,Event Planner,400,20,1,320.0,4.5
MH10165,2026-10-24,October,2026Q4,Tamil Nadu,Erode,Arabic Mehendi,Arabic,Festival,Instagram/WhatsApp,1800,15,3,4590.0,4.1
MH10166,2026-10-27,October,2026Q4,Tamil Nadu,Coimbatore,Bridal Mehendi,Bridal,Engagement,Event Planner,1950,20,3,4680.0,4.1
MH10167,2026-07-11,July,2026Q3,Karnataka,Bengaluru,Bridal Mehendi,Bridal,Engagement,Event Planner,2150,0,3,6450.0,4.3
MH10168,2026-02-17,February,2026Q1,Telangana,Hyderabad,Kids Mehendi,Kids,Party,Instagram/WhatsApp,500,10,3,1350.0,4.9
MH10169,2026-04-21,April,2026Q2,Karnataka,Bengaluru,Traditional Indian Mehendi,Traditional,Baby Shower,Event Planner,1150,15,1,977.5,3.8
MH10170,2026-11-11,November,2026Q4,Tamil Nadu,Chennai,Bridal Mehendi,Bridal,Wedding,Website Booking,2550,15,3,6502.5,4.5
MH10171,2026-06-02,June,2026Q2,Tamil Nadu,Erode,Party Mehendi,Party,Festival,Event Planner,850,0,3,2550.0,4.3
MH10172,2026-10-02,October,2026Q4,Karnataka,Bengaluru,Party Mehendi,Party,Wedding,Event Planner,1300,0,1,1300.0,4.3
MH10173,2026-04-29,April,2026Q2,Tamil Nadu,Salem,Minimal Mehendi,Minimal,Wedding,Walk-in,750,15,3,1912.5,4.1
MH10174,2026-10-02,October,2026Q4,Telangana,Hyderabad,Engagement Mehendi,Bridal,Party,Instagram/WhatsApp,3250,10,2,5850.0,3.7
MH10175,2026-12-03,December,2026Q4,Kerala,Kochi,Engagement Mehendi,Bridal,Casual,Event Planner,1850,0,2,3700.0,4.3
MH10176,2026-09-14,September,2026Q3,Tamil Nadu,Coimbatore,Party Mehendi,Party,Party,Website Booking,1750,15,1,1487.5,4.6
MH10177,2026-12-19,December,2026Q4,Karnataka,Bengaluru,Party Mehendi,Party,Party,Instagram/WhatsApp,1400,10,1,1260.0,4.4
MH10178,2026-06-07,June,2026Q2,Tamil Nadu,Madurai,Arabic Mehendi,Arabic,Engagement,Instagram/WhatsApp,1800,10,1,1620.0,4.3
MH10179,2026-02-11,February,2026Q1,Tamil Nadu,Salem,Traditional Indian Mehendi,Traditional,Party,Instagram/WhatsApp,1800,15,2,3060.0,4.2
MH10180,2026-01-25,January,2026Q1,Tamil Nadu,Erode,Bridal Mehendi,Bridal,Festival,Website Booking,4600,0,2,9200.0,4.7
MH10181,2026-02-17,February,2026Q1,Tamil Nadu,Coimbatore,Minimal Mehendi,Minimal,Wedding,Event Planner,700,5,1,665.0,3.6
MH10182,2026-03-15,March,2026Q1,Tamil Nadu,Erode,Traditional Indian Mehendi,Traditional,Festival,Instagram/WhatsApp,1300,10,4,4680.0,4.9
